../Exp/CBClip.txt
                    Submission   Slope  Interc       R     R^2    RMSE     MSE     MUE     TAU  
             BAR-ab-initio.txt   -0.12   -8.49   -0.09    0.01    3.99   -1.12    3.34   -0.16  
                  BAR-dock.txt   -0.36   -7.81   -0.23    0.05    4.66    1.14    3.92   -0.24  
                     BEDAM.txt    1.73    3.61    0.66    0.44    4.78   -1.21    3.48    0.42  
                  MovTyp-1.txt    0.02   -4.67    0.02    0.00    3.54    1.76    2.76   -0.02  
                  MovTyp-2.txt   -0.01   -4.84   -0.01    0.00    4.19    1.81    3.37    0.02  
                    SOMD-1.txt    2.68    7.07    0.87    0.76    6.42   -4.01    5.66    0.69  
                    SOMD-2.txt    2.68    7.18    0.87    0.76    6.35   -3.91    5.60    0.73  
                    SOMD-3.txt    2.68    8.37    0.87    0.76    5.67   -2.66    5.12    0.73  
                    SOMD-4.txt    5.61   37.76    0.68    0.46   18.44    7.43   12.85    0.51  
              TI-ab-initio.txt   -0.63  -10.60   -0.42    0.18    4.73    0.16    4.21   -0.20  
                   TI-dock.txt   -0.05   -6.93   -0.05    0.00    3.43   -0.00    2.96   -0.16  
                    TIxBar.txt   -0.12   -9.31   -0.11    0.01    3.98   -1.92    3.31   -0.20  
                      Null.txt    0.00    0.00    0.00    0.00    6.95    6.58    6.58     nan  
                     Null2.txt    0.40   -3.98    0.45    0.20    2.20   -0.02    1.88    0.43  
