../Exp/CBClip.txt
                    Submission   Slope  Interc       R     R^2    RMSE     MSE     MUE     TAU  
             BAR-ab-initio.txt   -0.12   -7.37   -0.09    0.01    3.83    0.00    3.06   -0.16  
                  BAR-dock.txt   -0.36   -8.95   -0.23    0.05    4.52    0.00    3.92   -0.24  
                     BEDAM.txt    1.73    4.82    0.66    0.44    4.63   -0.00    3.52    0.42  
                  MovTyp-1.txt    0.02   -6.43    0.02    0.00    3.07   -0.00    2.63   -0.02  
                  MovTyp-2.txt   -0.01   -6.66   -0.01    0.00    3.78   -0.00    3.37    0.02  
                    SOMD-1.txt    2.68   11.08    0.87    0.76    5.01   -0.00    4.52    0.69  
                    SOMD-2.txt    2.68   11.08    0.87    0.76    5.00    0.00    4.51    0.73  
                    SOMD-3.txt    2.68   11.04    0.87    0.76    5.01   -0.00    4.52    0.73  
                    SOMD-4.txt    5.61   30.32    0.68    0.46   16.88   -0.00   13.15    0.51  
              TI-ab-initio.txt   -0.63  -10.75   -0.42    0.18    4.73    0.00    4.25   -0.20  
                   TI-dock.txt   -0.05   -6.93   -0.05    0.00    3.43   -0.00    2.96   -0.16  
                    TIxBar.txt   -0.12   -7.40   -0.11    0.01    3.49   -0.00    2.82   -0.20  
                      Null.txt    0.00   -6.58    0.00    0.00    2.22   -0.00    1.85     nan  
                     Null2.txt    0.40   -3.96    0.45    0.20    2.20   -0.00    1.88    0.43  
