../Exp/OASaltDep.txt
                    Submission   Slope  Interc       R     R^2    RMSE     MSE     MUE     TAU  
                   APR-OPC.txt    2.20    5.41    0.94    0.88    1.64    0.00    1.20    0.87  
                 APR-TIP3P.txt    1.62    2.81    0.97    0.93    0.86    0.00    0.59    0.87  
                     BEDAM.txt    2.68    7.55    0.67    0.45    3.86    0.00    3.28    0.33  
           CCSD(T)-neutral.txt    3.73   12.30    0.52    0.27    7.60    0.00    6.21    0.20  
               DFT-charged.txt    4.14   14.14    0.82    0.68    4.81    0.00    4.27    0.33  
               DFT-neutral.txt    3.92   13.13    0.62    0.39    6.48    0.00    5.57    0.33  
              Metadynamics.txt    0.62   -1.71    0.53    0.29    1.19    0.00    1.17    0.33  
               MMPBSA-GAFF.txt   -1.69  -12.09   -0.63    0.39    3.86    0.00    2.95   -0.33  
                  MovTyp-1.txt   -1.51  -11.29   -0.82    0.68    3.08   -0.00    2.26   -0.47  
                  MovTyp-2.txt   -1.69  -12.09   -0.73    0.53    3.54    0.00    2.76   -0.47  
              PERT-bound-c.txt   -0.81   -8.14   -0.39    0.15    2.97    0.00    2.32   -0.20  
                PERT-bound.txt   -0.62   -7.31   -0.33    0.11    2.74    0.00    2.00   -0.20  
              PERT-hrex-c1.txt   -1.09   -9.43   -0.50    0.25    3.20   -0.00    2.53   -0.20  
              PERT-hrex-c2.txt   -0.08   -4.86   -0.06    0.00    1.85    0.00    1.38   -0.07  
               PERT-hrex-c.txt   -0.91   -8.60   -0.46    0.21    2.96    0.00    2.25   -0.07  
                 PERT-hrex.txt   -0.91   -8.60   -0.46    0.21    2.96    0.00    2.25   -0.07  
                    SOMD-1.txt    1.11    0.50    0.88    0.77    0.70    0.00    0.63    0.47  
                    SOMD-2.txt    1.11    0.51    0.88    0.78    0.69    0.00    0.62    0.60  
                    SOMD-3.txt    1.12    0.53    0.88    0.78    0.69    0.00    0.62    0.60  
                    SOMD-4.txt   -1.45  -11.03   -0.17    0.03   10.00   -0.00    9.39    0.07  
          MMPBSA-OPLS-OAMe.txt   -1.71  -12.21   -0.81    0.65    3.39    0.00    2.49   -0.60  
                      Null.txt    0.00   -4.50    0.00    0.00    1.14    0.00    0.91     nan  
                     Null2.txt   -1.52  -11.36   -0.83    0.69    3.09    0.00    2.57   -0.83  
